AdvantEdge -  TechEdge © 2026 - Polsat Media
Analysis:,Time
Time:,"26 August 2026, 11:54:31"
Period:,2024-01-01 - 2026-08-24,[24-27]
Targets:,"Poland OOH	Nat[Live +2 OOH]	A16-59	58,443%	-	19695053	4619"
------------------------------------

,,,Units,Target,Universe
,,,TRP (avgW),ATV,Share
,,,A16-59,A16-59,A16-59
Channel,Date,Time,Nat[Live +2 OOH],Nat[Live +2 OOH],Nat[Live +2 OOH]
TV PULS,2024-01-01,02:00:00,"0,580","0,087","3,908"
TV PULS,2024-01-01,02:15:00,"0,483","0,073","3,734"
TV PULS,2024-01-01,02:30:00,"0,358","0,054","3,123"
TV PULS,2024-01-01,02:45:00,"0,210","0,032","2,091"
TV PULS,2024-01-01,03:00:00,"0,222","0,033","2,441"
TV PULS,2024-01-01,03:15:00,"0,220","0,033","2,819"
TV PULS,2024-01-01,03:30:00,"0,193","0,029","2,586"
TV PULS,2024-01-01,03:45:00,"0,192","0,029","2,959"
TV PULS,2024-01-01,04:00:00,"0,214","0,032","3,679"
TV PULS,2024-01-01,04:15:00,"0,161","0,024","3,221"
TV PULS,2024-01-01,04:30:00,"0,139","0,021","3,164"
TV PULS,2024-01-01,04:45:00,"0,125","0,019","3,259"
TV PULS,2024-01-01,05:00:00,"0,138","0,021","3,652"
TV PULS,2024-01-01,05:15:00,"0,059","0,009","1,663"
TV PULS,2024-01-01,05:30:00,"0,056","0,008","1,698"
TV PULS,2024-01-01,05:45:00,"0,060","0,009","1,940"
TV PULS,2024-01-01,06:00:00,"0,069","0,010","2,254"
TV PULS,2024-01-01,06:15:00,"0,063","0,009","2,238"
TV PULS,2024-01-01,06:30:00,"0,056","0,008","2,064"
TV PULS,2024-01-01,06:45:00,"0,061","0,009","2,085"
TV PULS,2024-01-01,07:00:00,"0,071","0,011","2,161"
TV PULS,2024-01-01,07:15:00,"0,045","0,007","1,287"
TV PULS,2024-01-01,07:30:00,"0,137","0,021","3,617"
TV PULS,2024-01-01,07:45:00,"0,171","0,026","3,839"
TV PULS,2024-01-01,08:00:00,"0,176","0,026","3,561"
TV PULS,2024-01-01,08:15:00,"0,233","0,035","4,042"
TV PULS,2024-01-01,08:30:00,"0,232","0,035","3,542"
TV PULS,2024-01-01,08:45:00,"0,351","0,053","4,558"
TV PULS,2024-01-01,09:00:00,"0,283","0,042","3,017"
TV PULS,2024-01-01,09:15:00,"0,409","0,061","3,719"
TV PULS,2024-01-01,09:30:00,"0,591","0,089","4,631"
TV PULS,2024-01-01,09:45:00,"0,459","0,069","3,211"
TV PULS,2024-01-01,10:00:00,"0,649","0,097","3,931"
TV PULS,2024-01-01,10:15:00,"0,745","0,112","4,096"
TV PULS,2024-01-01,10:30:00,"0,893","0,134","4,510"
TV PULS,2024-01-01,10:45:00,"0,938","0,141","4,525"
TV PULS,2024-01-01,11:00:00,"0,663","0,099","3,002"
TV PULS,2024-01-01,11:15:00,"0,746","0,112","3,156"
TV PULS,2024-01-01,11:30:00,"0,843","0,126","3,328"
TV PULS,2024-01-01,11:45:00,"0,999","0,150","3,899"
TV PULS,2024-01-01,12:00:00,"1,122","0,168","4,340"
TV PULS,2024-01-01,12:15:00,"0,777","0,117","2,897"
TV PULS,2024-01-01,12:30:00,"0,982","0,147","3,520"
TV PULS,2024-01-01,12:45:00,"1,102","0,165","3,855"
TV PULS,2024-01-01,13:00:00,"1,253","0,188","4,342"
TV PULS,2024-01-01,13:15:00,"1,199","0,180","4,073"
TV PULS,2024-01-01,13:30:00,"1,258","0,189","4,211"
TV PULS,2024-01-01,13:45:00,"1,128","0,169","3,681"
TV PULS,2024-01-01,14:00:00,"1,089","0,163","3,522"
TV PULS,2024-01-01,14:15:00,"0,744","0,112","2,414"
TV PULS,2024-01-01,14:30:00,"0,931","0,140","2,950"
TV PULS,2024-01-01,14:45:00,"1,191","0,179","3,692"
TV PULS,2024-01-01,15:00:00,"1,181","0,177","3,681"
TV PULS,2024-01-01,15:15:00,"1,074","0,161","3,322"
TV PULS,2024-01-01,15:30:00,"1,359","0,204","4,150"
TV PULS,2024-01-01,15:45:00,"1,276","0,191","3,909"
TV PULS,2024-01-01,16:00:00,"0,840","0,126","2,558"
TV PULS,2024-01-01,16:15:00,"0,729","0,109","2,195"
TV PULS,2024-01-01,16:30:00,"0,923","0,138","2,793"
TV PULS,2024-01-01,16:45:00,"1,467","0,220","4,410"
TV PULS,2024-01-01,17:00:00,"1,145","0,172","3,415"
TV PULS,2024-01-01,17:15:00,"1,172","0,176","3,470"
TV PULS,2024-01-01,17:30:00,"1,254","0,188","3,782"
TV PULS,2024-01-01,17:45:00,"1,316","0,197","3,931"
TV PULS,2024-01-01,18:00:00,"0,847","0,127","2,496"
TV PULS,2024-01-01,18:15:00,"0,706","0,106","2,050"
TV PULS,2024-01-01,18:30:00,"1,141","0,171","3,309"
TV PULS,2024-01-01,18:45:00,"1,403","0,210","3,999"
TV PULS,2024-01-01,19:00:00,"0,855","0,128","2,269"
TV PULS,2024-01-01,19:15:00,"0,970","0,146","2,566"
TV PULS,2024-01-01,19:30:00,"1,312","0,197","3,380"
TV PULS,2024-01-01,19:45:00,"1,591","0,239","4,085"
TV PULS,2024-01-01,20:00:00,"2,048","0,307","5,228"
TV PULS,2024-01-01,20:15:00,"1,569","0,235","3,988"
TV PULS,2024-01-01,20:30:00,"2,449","0,367","6,379"
TV PULS,2024-01-01,20:45:00,"2,482","0,372","6,469"
TV PULS,2024-01-01,21:00:00,"1,980","0,297","5,257"
TV PULS,2024-01-01,21:15:00,"2,083","0,312","5,699"
TV PULS,2024-01-01,21:30:00,"2,176","0,326","6,086"
